Department Name,Classification Name,Job Pay Rate,Job Start Date,Yrs Svc,Job Employer Status,Address Zip Code
MASTER PLANNING,"ACCOUNTANT, PROJECT",45.904,6/11/2018,2.667,Active Full Time,91748
FINANCIAL SERVICES,"ACCOUNTANT, SR",52.323,1/2/2001,20.083,Active Full Time,91739
FINANCIAL SERVICES,"ACCOUNTANT, SR",47.282,1/5/2017,4.083,Active Full Time,91709
UTILIZATION MANAGEME,"ADMIN ASSISTANT, CAS",31.149,10/24/2016,4.333,Active Full Time,91767
EVS,"ADMIN ASSISTANT, EVS",31.586,3/2/2015,5.917,Active Full Time,92336
FAMILY ED & RESOURCE,"ADMIN ASSISTANT, FE",31.149,12/13/2001,19.167,Active Part Time,92509
MASTER PLANNING,"ADMIN ASSISTANT, MAS",23.243,8/6/2019,1.5,Active Full Time,91767
NURSE STAFFING,"ADMIN ASSISTANT, NIC",31.149,8/25/1998,22.5,Active Full Time,91730
PATIENT ACCOUNTING,ADMINISTRATIVE ASSIS,31.149,7/9/2001,19.583,Active Full Time,91701
PATIENT RELATIONS,ADMINISTRATIVE ASSIS,29.665,1/21/2002,19.083,Active Regular Pa,92407
NEUROLOGY,ADMINISTRATIVE ASSIS,31.149,3/2/2006,14.917,Active Full Time,91752
NURSE STAFFING,ADMINISTRATIVE ASSIS,31.149,2/25/2009,12.0,Active Full Time,91741
QUALITY MANAGEMENT,ADMINISTRATIVE ASSIS,31.149,4/13/2009,11.833,Active Full Time,92377
RADIOLOGY-ANGIOGRAPH,ADMINISTRATIVE ASSIS,28.252,11/11/1996,24.25,Active Full Time,91790
PHARMACY,ADMINISTRATIVE ASSIS,26.908,4/8/2003,17.833,Active Full Time,91766
PHARMACY,ADMINISTRATIVE ASSIS,24.405,5/1/2018,2.75,Active Regular Pa,91784
PHARMACY,ADMINISTRATIVE ASSIS,31.149,1/27/2020,1.083,Active Full Time,91730
DEPT OF ACADEMIC AFF,ADMINISTRATIVE ASSIS,31.149,7/27/1998,22.583,RFT - LOA > 30 da,92880
SLEEP CENTER,ADMINISTRATIVE ASSIS,31.149,8/7/2017,3.5,Active Full Time,92879
PLANT OPERATIONS,ADMINISTRATIVE ASSIS,28.252,12/1/2014,6.167,Active Full Time,92407
QUALITY MANAGEMENT,ADMINISTRATIVE ASSIS,31.149,1/30/2017,4.083,Active Full Time,91701
INFECTION CONTROL,ADMINISTRATIVE ASSIS,26.908,8/31/2015,5.5,Active Full Time,92337
RESPIRATORY SERVICES,ADMINISTRATIVE ASSIS,31.149,9/19/2005,15.417,Active Full Time,92337
FAMILY MEDICINE RESI,ADMINISTRATIVE ASSIS,31.149,8/6/2018,2.5,Active Full Time,91750
SOCIAL SERVICES,ADMINISTRATIVE ASSIS,31.149,4/17/2017,3.833,Active Full Time,91750
QUALITY MANAGEMENT,"ADMINISTRATOR, CLINI",85.94,7/9/1984,36.583,Active Full Time,91737
FOUNDATION,"ADMINISTRATOR, DATAB",40.681,6/23/1997,23.667,Active Full Time,91767
INFORMATION SERVICES,"ADMINISTRATOR, IDENT",44.016,5/8/2017,3.75,Active Full Time,92801
INFORMATION SERVICES,"ADMINISTRATOR, IDENT",36.212,9/8/2016,4.417,Active Full Time,91750
RADIOLOGY-ADMIN,"ADMINISTRATOR, PACS",64.945,8/2/1977,43.5,Active Full Time,92354
INFORMATION SERVICES,"ADMINISTRATOR, SR ID",52.691,8/11/2008,12.5,Active Full Time,92336
MATERIALS MGNT ADMIN,"ADMINISTRATOR, SUPPL",33.667,2/27/2018,3.0,Active Full Time,91737
ER ADMITTING,ADMT REG REP,17.267,2/11/2019,2.0,Active Regular Pa,91710
ER ADMITTING,ADMT REG REP,19.989,8/8/2016,4.5,RFT - LOA > 30 da,92316
ER ADMITTING,ADMT REG REP,16.444,6/16/2020,0.667,Active Part Time,91763
ADMITTING NORTH,ADMT REG REP,23.14,3/31/1997,23.917,Active Full Time,92404
ER ADMITTING,ADMT REG REP,19.037,5/30/2017,3.75,Active Full Time,92335
ER ADMITTING,ADMT REG REP,19.037,2/13/2017,4.0,Active Full Time,91710
ADMITTING SOUTH,ADMT REG REP,23.14,4/1/2002,18.833,Active Full Time,91786
ADMITTING SOUTH,ADMT REG REP,22.039,7/10/2017,3.583,Active Regular Pa,91730
ER ADMITTING,ADMT REG REP,23.14,3/8/2004,16.917,Active Full Time,91766
ER ADMITTING,ADMT REG REP,23.14,6/20/2000,20.667,RFT - LOA > 30 da,91767
ER ADMITTING,ADMT REG REP,19.037,10/30/2019,1.333,Active Regular Pa,92374
ER ADMITTING,ADMT REG REP,20.989,8/5/2020,0.5,Active Regular Pa,91766
ER ADMITTING,ADMT REG REP,23.14,11/9/2015,5.25,Active Regular Pa,91786
ER ADMITTING,ADMT REG REP,22.039,9/2/2014,6.417,Active Full Time,91766
ER ADMITTING,ADMT REG REP,23.14,11/2/2015,5.25,Active Full Time,92882
ER ADMITTING,ADMT REG REP,19.037,9/17/2020,0.417,Active Part Time,91710
ADMITTING SOUTH,ADMT REG REP,23.14,12/23/2002,18.167,Active Full Time,91740
ER ADMITTING,ADMT REG REP,23.14,7/1/2016,4.583,Active Full Time,91773
ADMITTING SOUTH,ADMT REG REP,19.037,8/11/2014,6.5,Active Regular Pa,91762
ADMITTING NORTH,ADMT REG REP,24.297,11/17/1989,31.25,Active Full Time,92509
ER ADMITTING,ADMT REG REP,23.14,3/25/2000,20.917,Active Full Time,91761
ER ADMITTING,ADMT REG REP,23.14,12/12/2016,4.167,Active Part Time,91744
ER ADMITTING,ADMT REG REP,23.14,9/14/2020,0.417,Active Full Time,91786
ER ADMITTING,ADMT REG REP,23.14,3/7/2012,8.917,Active Regular Pa,92337
ADMITTING NORTH,ADMT REG REP,23.14,12/18/2006,14.167,Active Full Time,91106
ADMITTING NORTH,ADMT REG REP,20.989,9/14/2015,5.417,Active Regular Pa,91710
ADMITTING SOUTH,ADMT REG REP,24.297,8/5/1986,34.5,Active Full Time,92377
ADMITTING NORTH,ADMT REG REP,16.444,11/13/2019,1.25,Active Regular Pa,91730
ER ADMITTING,ADMT REG REP,22.039,5/21/2019,1.75,Active Full Time,92394
ER ADMITTING,ADMT REG REP,22.039,8/6/2019,1.5,Active Regular Pa,92335
ADMITTING SOUTH,ADMT REG REP,23.14,5/4/2005,15.75,Active Part Time,92373
ADMITTING SOUTH,ADMT REG REP,23.14,3/29/2001,19.917,Active Regular Pa,91709
ADMITTING SOUTH,ADMT REG REP,23.14,3/25/2010,10.917,Active Regular Pa,91790
ADMITTING NORTH,ADMT REG REP,23.14,8/13/2001,19.5,Active Full Time,91768
ADMITTING SOUTH,ADMT REG REP,19.037,8/10/2020,0.5,Active Part Time,91767
